"dataset1","dataset2","distance"
balance-scale,prnn_viruses,4.829776925460406
balance-scale,rmftsa_sleepdata,3.1509139370579047
balance-scale,robot-failures-lp1,3.6618275010151016
balance-scale,robot-failures-lp5,4.237203532022452
balance-scale,satimage,6.642081023155335
balance-scale,seeds,4.173942873956611
balance-scale,segment,5.374348490520739
balance-scale,seismic-bumps,4.173942873956611
balance-scale,semeion,4.13707734379685
balance-scale,shuttle,9.11274627357255
balance-scale,spectrometer,5.974534247563868
balance-scale,steel-plates-fault,4.687844638782988
balance-scale,synthetic_control,6.062798263871273
balance-scale,tae,3.6370437390737567
balance-scale,tamilnadu-electricity,8.702843687713846
balance-scale,teachingassistant,4.915001888575219
balance-scale,thyroid-allbp,5.345378276306242
balance-scale,thyroid-allhyper,5.345378276306242
balance-scale,user-knowledge,4.675570743542332
balance-scale,vehicle,4.578086163622409
balance-scale,vertebra-column,4.769103351429342
balance-scale,volcanoes-a1,4.667855416957063
balance-scale,volcanoes-a3,3.8839861055773675
balance-scale,volcanoes-a4,3.3113481672823575
balance-scale,volcanoes-d1,9.113122590081332
balance-scale,wall-robot-navigation,3.6092015794356715
balance-scale,waveform-5000,7.461755930019523
balance-scale,wine-quality-white,7.0897993058223125
balance-scale,wine,3.8825577027036138
balance-scale,zoo,6.240580186038625
breast-tissue,abalone,5.033177147385248
breast-tissue,artificial-characters,8.921982863234982
breast-tissue,balance-scale,2.423561994968726
breast-tissue,breast-tissue,0.0
breast-tissue,car,2.8799722976663844
breast-tissue,cardiotocography,6.116070479760554
breast-tissue,cmc,5.7726216037516735
breast-tissue,cnae-9,6.991245497532087
breast-tissue,collins,7.042294331354903
breast-tissue,covertype,9.142933958183361
breast-tissue,desharnais,2.423436094651349
breast-tissue,diggle_table_a2,4.579744216232525
breast-tissue,ecoli,5.004834313336539
breast-tissue,energy-efficiency,7.519957755724094
breast-tissue,eye_movements,8.769377369614736
breast-tissue,fabert,9.133046390538448
breast-tissue,fars,9.09242440217791
breast-tissue,fashion-mnist,9.100135070511687
breast-tissue,gas-drift-different-concentrations,6.287885341889242
breast-tissue,gas-drift,6.243554739605383
breast-tissue,gina_prior2,7.694844962080279
breast-tissue,glass,3.424865044882305
breast-tissue,har,7.954770227626668
breast-tissue,hayes-roth,2.614785575110999
breast-tissue,heart-long-beach,5.062358794646616
breast-tissue,heart-switzerland,4.68011723619647
breast-tissue,helena,9.147357787492561
breast-tissue,indian_pines,8.508866856030373
breast-tissue,iris,6.143312298585441
breast-tissue,jannis,9.13803582972341
breast-tissue,japanesevowels,5.048196860245841
breast-tissue,jungle_chess_2pcs_endgame_panther_elephant,5.9250070652307185
breast-tissue,jungle_chess_2pcs_raw_endgame_complete,8.80981059337342
breast-tissue,leaf,6.842112233353755
breast-tissue,led-display-domain-7digit,5.1785678593520865
breast-tissue,mfeat-factors,4.339408568378087
breast-tissue,mfeat-fourier,3.441102927988696
breast-tissue,mfeat-karhunen,3.0985638809599427
breast-tissue,mfeat-morphological,4.582995952367156
breast-tissue,mfeat-pixel,4.58031321027082
breast-tissue,microaggregation2,8.026529940610832
breast-tissue,nursery,7.114401516894437
breast-tissue,page-blocks,6.630211715066482
breast-tissue,pokerhand,9.139100933186922
breast-tissue,popularkids,4.174482712289756
breast-tissue,prnn_fglass,3.424865044882332
breast-tissue,prnn_viruses,4.527845420841755
breast-tissue,rmftsa_sleepdata,3.1896314319130545
breast-tissue,robot-failures-lp1,2.1931731428058323
breast-tissue,robot-failures-lp5,2.9336906496400523
breast-tissue,satimage,7.5230230802991604
breast-tissue,seeds,4.725707273962452
breast-tissue,segment,4.338961002875156
breast-tissue,seismic-bumps,4.725707273962452
breast-tissue,semeion,3.691894421461784
breast-tissue,shuttle,9.14412414470495
breast-tissue,spectrometer,6.313989803571662
breast-tissue,steel-plates-fault,4.3762571054168244
breast-tissue,synthetic_control,6.673630181508831
breast-tissue,tae,4.15338661645323
breast-tissue,tamilnadu-electricity,8.682170678617112
breast-tissue,teachingassistant,4.656644947424532
breast-tissue,thyroid-allbp,5.177840498289282
breast-tissue,thyroid-allhyper,5.177840498289282
breast-tissue,user-knowledge,4.0058158776958575
breast-tissue,vehicle,4.946614026948015
breast-tissue,vertebra-column,4.744566964792566
breast-tissue,volcanoes-a1,5.106393995862967
breast-tissue,volcanoes-a3,4.246754177218199
breast-tissue,volcanoes-a4,3.783664824546689
breast-tissue,volcanoes-d1,9.142936411909702
breast-tissue,wall-robot-navigation,3.3596326840981217
breast-tissue,waveform-5000,7.792644410623855
